Id,Label,timeset,num_minutes,avg_hour,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
32,GANW,,15871.23699,14.693084,28,33,61,5,0.455253,0.519729,47.205894
33,GANCW,,15779.11244,14.590211,24,37,61,4,0.465209,0.532051,64.870245
34,BHSY,,15348.15205,15.689071,49,50,99,4,0.482474,0.563746,65.388772
35,GANSE,,15006.11964,14.70643,33,32,65,4,0.46063,0.52208,73.465586
36,BNPRT,,14889.87021,15.590599,54,53,107,4,0.488518,0.571581,250.686088
37,GVXT,,14277.5491,15.758207,51,48,99,4,0.473684,0.554843,201.004121
38,EXV,,13269.62111,16.039298,44,46,90,4,0.482474,0.557336,320.499335
39,EOQ,,12728.60867,16.978682,60,62,122,4,0.507592,0.595798,1366.942269
40,GANFE,,12410.73895,15.719062,30,31,61,4,0.45614,0.516738,731.444195
41,GANCE,,12385.21326,13.828299,25,31,56,5,0.444867,0.509402,19.219843
42,ZHJ,,11749.86088,15.552695,51,51,102,4,0.488518,0.568732,155.929505
43,GPGV,,11691.90376,15.64882,39,44,83,4,0.480493,0.553063,138.236466
44,USDSL,,11690.50704,14.834286,46,51,97,4,0.512035,0.582977,1381.321216
45,LZEBC,,11369.31538,14.856283,38,38,76,4,0.467066,0.535613,42.527385
46,VPGW,,11335.99165,16.081164,41,47,88,4,0.484472,0.560185,65.181404
47,GANSW,,10176.61899,13.798598,32,41,73,5,0.464286,0.538604,174.876637
48,LXQW,,9922.883961,13.333709,30,29,59,5,0.428571,0.49594,108.691166
49,BKE,,9563.697381,15.432108,44,41,85,4,0.464286,0.537749,696.506973
50,MVJK2,,9290.381342,14.317204,21,25,46,4,0.45,0.502849,98.259158
51,KXED,,9279.690671,15.090708,44,44,88,4,0.470825,0.547009,106.108034
52,FXVE,,9075.494763,15.258604,38,40,78,4,0.466135,0.537037,48.204715
53,DJBEE,,9017.894435,16.123561,49,55,104,4,0.501071,0.582265,185.657423
54,LXQ,,8931.02766,13.062959,31,27,58,5,0.440678,0.499786,74.875091
55,GANFW,,8893.78527,14.865579,23,32,55,4,0.457926,0.519587,27.106461
56,UST1,,8360.638134,15.278721,46,48,94,4,0.4875,0.563034,89.438265
57,RSNXE,,8293.251227,13.721766,25,31,56,5,0.427007,0.49765,114.658347
58,DZWN2,,7604.698691,15.700691,43,48,91,4,0.474645,0.555556,70.50821
59,RSNXW,,7565.888052,11.801455,30,30,60,5,0.444023,0.506909,181.072636
60,ZKWL,,7474.818494,15.869444,34,40,74,4,0.473684,0.541311,228.404699
61,ENND,,7381.90671,16.806883,40,37,77,4,0.461538,0.529202,58.928723
62,BKO,,7251.888871,16.584061,30,34,64,4,0.46063,0.524929,18.851792
63,RSN,,6926.854828,15.336815,40,39,79,4,0.462451,0.533832,298.574381
64,ANSY,,6912.891162,14.567376,14,15,29,5,0.432532,0.474145,731.979002
65,VQWX,,6590.786907,16.983553,31,37,68,4,0.471774,0.537037,53.199969
66,SKE,,6581.538462,16.357909,32,40,72,4,0.471774,0.541311,101.480172
67,LXQMW,,6445.773486,11.350785,21,24,45,5,0.440678,0.495869,47.330909
68,CVXNY,,6367.187234,15.233129,15,19,34,4,0.441509,0.487536,21.691454
69,AWRVO,,5938.819804,16.970984,33,40,73,4,0.474645,0.542379,57.576137
70,VZG-W,,5825.688707,14.88651,18,17,35,5,0.430147,0.476994,138.812171
71,RQSV,,5743.908838,15.330357,30,30,60,5,0.454369,0.5151,31.163467
72,RDL,,5459.571031,14.913621,27,29,56,5,0.453488,0.511895,178.468056
73,VZG-E,,5419.331424,15.042718,18,16,34,5,0.428571,0.473789,115.87456
74,RCOZW,,5309.234043,14.771676,11,14,25,5,0.418605,0.463604,57.855147
75,LXQAE,,5140.2527,14.84375,15,16,31,5,0.411972,0.460755,15.738885
76,QXW,,5065.271522,15.282095,17,23,40,4,0.45614,0.50463,1494.073136
77,RCOZE,,5021.459247,15.170093,24,20,44,5,0.420863,0.476282,158.629101
